nu,thr,M,Mzero,Mone,Mtwo_ud,Mtwo_uu,Mthree,Mother,E,dE,err,keptDim
0,1,1,1,0,0,0,0,0,-14.5729681402343,0.0713375558665117,0.0943918597656914,1
1,0.5,1,1,0,0,0,0,0,-14.5729681402343,0.0713375558665117,0.0943918597656914,1
2,0.25,1,1,0,0,0,0,0,-14.5729681402343,0.0713375558665117,0.0943918597656914,1
3,0.125,1,1,0,0,0,0,0,-14.5729681402343,0.0713375558665117,0.0943918597656914,1
4,0.0625,10,1,2,7,0,0,0,-14.587713759311,0.0565919367897756,0.0796462406889553,10
5,0.03125,22,1,14,7,0,0,0,-14.5924880337379,0.0518176623629127,0.0748719662620925,22
6,0.015625,34,1,14,19,0,0,0,-14.6047355715031,0.0395701245976721,0.0626244284968518,34
7,0.0078125,40,1,14,25,0,0,0,-14.610339073508,0.0339666225927946,0.0570209264919743,40
8,0.00390625,122,1,50,71,0,0,0,-14.630419700856,0.0138859952447969,0.0369402991439767,122
9,0.001953125,235,1,106,128,0,0,0,-14.6376421678209,0.00666352827989947,0.0297178321790792,235
10,0.0009765625,551,1,204,238,96,12,0,-14.6417473716219,0.00255832447892423,0.025612628378104,551
11,0.00048828125,927,1,304,298,300,24,0,-14.6437242385054,0.000581457595396628,0.0236357614945764,927
12,0.000244140625,1163,1,424,354,348,36,0,-14.643769499315,0.000536196785869691,0.0235905006850494,1163
13,0.0001220703125,1633,1,480,468,492,192,0,-14.6442162908574,8.94052434219361e-05,0.0231437091426017,1633
14,6.103515625e-05,2229,1,612,536,636,444,0,-14.644269141646,3.65544547786811e-05,0.0230908583539584,2229
15,3.0517578125e-05,2561,1,664,610,732,552,2,-14.6442940429817,1.16531191061142e-05,0.0230659570182858,2561
16,1.52587890625e-05,2853,1,664,638,828,720,2,-14.6442960675756,9.62852523578306e-06,0.0230639324244155,2853
17,7.62939453125e-06,3199,1,744,652,972,828,2,-14.6443044067434,1.28935746879222e-06,0.0230555932566485,3199
18,3.814697265625e-06,3611,1,784,676,1164,984,2,-14.6443051211078,5.74993059387907e-07,0.0230548788922391,3611
19,1.9073486328125e-06,3729,1,800,718,1176,1032,2,-14.6443056839809,1.21199299485397e-08,0.0230543160191097,3729
20,9.5367431640625e-07,3897,1,824,718,1176,1176,2,-14.6443056862765,9.82429426699127e-09,0.023054313723474,3897
21,4.76837158203125e-07,3933,1,824,754,1176,1176,2,-14.6443056885465,7.55434470534055e-09,0.0230543114535244,3933
22,2.38418579101562e-07,4089,1,824,790,1272,1200,2,-14.6443056957722,3.28613580791171e-10,0.0230543042277933,4089
23,1.19209289550781e-07,4145,1,824,798,1320,1200,2,-14.6443056959383,1.62561519800875e-10,0.0230543040617412,4145
24,5.96046447753906e-08,4207,1,824,836,1320,1224,2,-14.644305696092,8.85158613073145e-12,0.0230543039080313,4207
25,2.98023223876953e-08,4267,1,836,836,1368,1224,2,-14.6443056960997,1.07469588783715e-12,0.0230543039002544,4267
26,1.49011611938477e-08,4267,1,836,836,1368,1224,2,-14.6443056960997,1.07469588783715e-12,0.0230543039002544,4267
27,7.45058059692383e-09,4267,1,836,836,1368,1224,2,-14.6443056960997,1.07469588783715e-12,0.0230543039002544,4267
28,3.72529029846191e-09,4315,1,836,836,1416,1224,2,-14.6443056961003,4.76063632959267e-13,0.0230543038996558,4315
29,1.86264514923096e-09,4363,1,836,836,1464,1224,2,-14.6443056961008,2.8421709430404e-14,0.0230543038992082,4363
30,9.31322574615479e-10,4363,1,836,836,1464,1224,2,-14.6443056961008,2.8421709430404e-14,0.0230543038992082,4363
31,4.65661287307739e-10,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
32,2.3283064365387e-10,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
33,1.16415321826935e-10,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
34,5.82076609134674e-11,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
35,2.91038304567337e-11,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
36,1.45519152283669e-11,4459,1,836,836,1560,1224,2,-14.6443056961008,0,0.0230543038991797,4459
