sampleID,kappa,inner,epsilon,M,Mzero,Mone,Mtwo_ud,Mtwo_uu,Mthree,Mother,E,err,Ezero,Eone,Etwo_ud,Etwo_uu,Ethree,Eother,kept,solverResidual,assemblyTime,solveTime,importanceTime,blockEnergyTime,growTime,saveTime,totalInnerTimeNoSave,totalInnerTimeWithSave,cumulativeTime,nImportant,scoreMax,scoreMinNonzero,nGrowRaw,nNewM,nAdded,nnzS,nnzH,sparseGB_est,basisFile
1,1,1,0.5,2561,1,664,610,732,552,2,-14.6442940429762,0.0230659570237783,0,0,0,0,0,0,2561,2.16074244957085e-15,1541.5221953,2.5956246,0.0126472,0.0010271,0.0631859,0.9360572,1544.2048444,1545.1409016,1544.2123236,1,0.979960223334321,3.27139264748398e-06,2562,2561,0,6502897,6558721,0.194671452045441,JH_BeGround_Table510_basis_byM_nu15_sample0001_kappa1_inner1_M2561.mat
2,2,1,0.25,2561,1,664,610,732,552,2,-14.6442940429762,0.0230659570237783,0,0,0,0,0,0,2561,2.16074244957085e-15,1516.9275199,2.5867246,0.0063484,0.0007839,0.0436544,0.9242059,1519.5736163,1520.4978222,3065.6816455,1,0.979960223334321,3.27139264748398e-06,2562,2561,0,6502897,6558721,0.194671452045441,JH_BeGround_Table510_basis_byM_nu15_sample0002_kappa2_inner1_M2561.mat
3,3,1,0.125,2561,1,664,610,732,552,2,-14.6442940429762,0.0230659570237783,0,0,0,0,0,0,2561,2.16074244957085e-15,1519.3679853,2.6049222,0.0059679,0.0001628,0.0438507,0.9490596,1522.0309506,1522.9800102,4589.527171,1,0.979960223334321,3.27139264748398e-06,2562,2561,0,6502897,6558721,0.194671452045441,JH_BeGround_Table510_basis_byM_nu15_sample0003_kappa3_inner1_M2561.mat
4,4,1,0.0625,2561,1,664,610,732,552,2,-14.6442940429762,0.0230659570237783,0,0,0,0,0,0,2561,2.16074244957085e-15,1530.2954944,2.5921667,0.0065335,0.0003533,0.1090577,0.9142135,1533.0141583,1533.9283718,6124.4007977,7,0.979960223334321,3.27139264748398e-06,2694,2681,120,6502897,6558721,0.194671452045441,JH_BeGround_Table510_basis_byM_nu15_sample0004_kappa4_inner1_M2561.mat
5,4,2,0.0625,2681,1,664,730,732,552,2,-14.6493686784994,0.0179913215005545,0,0,0,0,0,0,2681,4.38943679956032e-15,1743.2448382,3.0010126,0.0115812,0.0005312,0.071774,0.9801534,1746.3373517,1747.3175051,7871.6604216,4,0.972752665383477,4.88526346391704e-07,2734,2705,24,7131937,7187761,0.21342009305954,JH_BeGround_Table510_basis_byM_nu15_sample0005_kappa4_inner2_M2681.mat
6,4,3,0.0625,2705,1,664,754,732,552,2,-14.649963908197,0.0173960918030431,0,0,0,0,0,0,2705,3.26170685583905e-15,1768.9837404,3.024814,0.0063035,8.11e-05,0.0459085,0.9824092,1772.0678249,1773.0502341,9644.7181667,2,0.971429014453581,9.77265663697453e-07,2732,2705,0,7261201,7317025,0.217272818088531,JH_BeGround_Table510_basis_byM_nu15_sample0006_kappa4_inner3_M2705.mat
7,5,1,0.03125,2705,1,664,754,732,552,2,-14.649963908197,0.0173960918030431,0,0,0,0,0,0,2705,3.26170685583905e-15,1774.4131861,3.1153703,0.0066001,8.14e-05,0.0687972,0.9854397,1777.6112588,1778.5966985,11424.2591378,10,0.971429014453581,9.77265663697453e-07,2890,2705,0,7261201,7317025,0.217272818088531,JH_BeGround_Table510_basis_byM_nu15_sample0007_kappa5_inner1_M2705.mat
8,6,1,0.015625,2705,1,664,754,732,552,2,-14.649963908197,0.0173960918030431,0,0,0,0,0,0,2705,3.26170685583905e-15,1749.7524702,3.0937071,0.0065376,8.54e-05,0.4621775,1.0242516,1753.3235796,1754.3478312,13179.5395803,118,0.971429014453581,9.77265663697453e-07,5218,4145,1440,7261201,7317025,0.217272818088531,JH_BeGround_Table510_basis_byM_nu15_sample0008_kappa6_inner1_M2705.mat
9,6,2,0.015625,4145,1,856,2002,732,552,2,-14.6538786260405,0.0134813739594879,0,0,0,0,0,0,4145,1.70860644068631e-14,4543.4899932,11.1506485,0.013717,8.41e-05,0.5304062,1.4504363,4555.1957119,4556.6461482,17735.7705192,142,0.963262856382273,5.97880453523255e-07,7102,4661,516,17125201,17181025,0.511264383792877,JH_BeGround_Table510_basis_byM_nu15_sample0009_kappa6_inner2_M4145.mat
10,6,3,0.015625,4661,1,952,2422,732,552,2,-14.6544478617005,0.0129121382994963,0,0,0,0,0,0,4661,5.60846595414176e-15,5978.5798762,16.554742,0.0169855,9.72e-05,0.2154915,1.6163237,5995.3784765,5996.9948002,23732.620635,52,0.961715694939321,1.56871498038207e-06,5578,4769,108,21669097,21724921,0.646690726280212,JH_BeGround_Table510_basis_byM_nu15_sample0010_kappa6_inner3_M4661.mat
11,7,1,0.0078125,4769,1,952,2530,732,552,2,-14.654450414921,0.0129095850789795,0,0,0,0,0,0,4769,7.56165957117859e-15,6229.4946714,18.2208613,0.0198639,0.0001005,0.5546194,1.6408817,6248.3027354,6249.9436171,29984.1572394,170,0.961710917528003,1.57414940186611e-06,7934,6111,1342,22687537,22743361,0.677044212818146,JH_BeGround_Table510_basis_byM_nu15_sample0011_kappa7_inner1_M4769.mat
12,7,2,0.0078125,6111,1,1204,3620,732,552,2,-14.6555796928632,0.0117803071368368,0,0,0,0,0,0,6111,1.10670336824166e-14,10639.3143606,39.0243851,0.0296706,9.38e-05,0.4656568,2.0685514,10678.8485445,10680.9170959,40664.6806766,122,0.960964449162062,1.2226228788235e-06,8652,6303,192,37288497,37344321,1.11220672726631,JH_BeGround_Table510_basis_byM_nu15_sample0012_kappa7_inner2_M6111.mat
13,7,3,0.0078125,6303,1,1204,3812,732,552,2,-14.6555952890777,0.0117647109222947,0,0,0,0,0,0,6303,1.18564289773997e-14,11522.8764124,46.3925843,0.033333,9.77e-05,0.8679934,2.5895157,11570.1867511,11572.7762668,52237.0161622,266,0.960931127185695,1.19348342359756e-06,10884,7015,712,39671985,39727809,1.18324306607246,JH_BeGround_Table510_basis_byM_nu15_sample0013_kappa7_inner3_M6303.mat
14,8,1,0.00390625,7015,1,1612,4116,732,552,2,-14.6556121373312,0.0117478626688143,0,0,0,0,0,0,7015,1.13036312735831e-14,15245.2461971,60.669983,0.0380404,9.12e-05,2.1140982,2.7027863,15308.0911033,15310.7938896,67550.7109937,706,0.960884405191037,1.31275752585819e-06,20526,11941,4926,49154401,49210225,1.46585169434547,JH_BeGround_Table510_basis_byM_nu15_sample0014_kappa8_inner1_M7015.mat
