sampleID,kappa,inner,epsilon,M,Mzero,Mone,Mtwo_ud,E,err,Ezero,Eone,Etwo_ud,kept,solverMethod,solverResidual,assemblyTime,solveTime,importanceTime,blockEnergyTime,growTime,saveTime,totalInnerTimeNoSave,totalInnerTimeWithSave,cumulativeTime,nImportant,scoreMax,scoreMinNonzero,nGrowRaw,nNewM,nAdded,nnzS,nnzH,sparseGB_est,basisFile
1,1,1,0.5,310,1,198,111,-2.89750603026714,0.00621834676698274,-2.56466764444074,-0.629039597746896,0.296201211920506,310,projected-full-eig-direct,8.23538144429248e-17,36.4241454,0.1079642,0.0082793,0.0062129,0.028041,0.3013402,36.5850514,36.8863916,36.5858906,1,0.996652992125016,4.91699299324928e-05,311,310,0,96100,96100,0.00286863744258881,JH_He_Table51_basis_byM_sample0001_kappa1_inner1_M310.mat
2,2,1,0.25,310,1,198,111,-2.89750603026714,0.00621834676698274,-2.56466764444074,-0.629039597746896,0.296201211920506,310,projected-full-eig-direct,8.23538144429248e-17,3.2434032,0.0213034,0.0013057,0.002447,0.0089465,0.1574046,3.2826069,3.4400115,40.4238744,1,0.996652992125016,4.91699299324928e-05,311,310,0,96100,96100,0.00286863744258881,JH_He_Table51_basis_byM_sample0002_kappa2_inner1_M310.mat
3,3,1,0.125,310,1,198,111,-2.89750603026714,0.00621834676698274,-2.56466764444074,-0.629039597746896,0.296201211920506,310,projected-full-eig-direct,8.23538144429248e-17,3.2490936,0.0182997,0.0011082,0.0048802,0.0076906,0.1465869,3.2845231,3.43111,44.0332199,1,0.996652992125016,4.91699299324928e-05,311,310,0,96100,96100,0.00286863744258881,JH_He_Table51_basis_byM_sample0003_kappa3_inner1_M310.mat
4,4,1,0.0625,310,1,198,111,-2.89750603026714,0.00621834676698274,-2.56466764444074,-0.629039597746896,0.296201211920506,310,projected-full-eig-direct,8.23538144429248e-17,3.1663939,0.0196529,0.00101,0.0016396,0.098391,0.1723455,3.2902269,3.4625724,47.6342165,2,0.996652992125016,4.91699299324928e-05,337,335,25,96100,96100,0.00286863744258881,JH_He_Table51_basis_byM_sample0004_kappa4_inner1_M310.mat
5,4,2,0.0625,335,1,198,136,-2.89967512291905,0.00404925411507406,-2.28857192387895,-1.17236487457408,0.56126167553398,334,projected-full-eig-direct,8.42623112815431e-17,3.5847011,0.0559352,0.0028026,0.0015191,0.0149174,0.1694726,3.6671926,3.8366652,51.4763612,1,0.996258858287731,5.7316438028257e-05,336,335,0,112225,112225,0.00334957242012024,JH_He_Table51_basis_byM_sample0005_kappa4_inner2_M335.mat
6,5,1,0.03125,335,1,198,136,-2.89967512291905,0.00404925411507406,-2.28857192387895,-1.17236487457408,0.56126167553398,334,projected-full-eig-direct,8.42623112815431e-17,3.2754056,0.0222106,0.0006791,0.0016133,0.0317457,0.2040977,3.3338338,3.5379315,55.1469803,3,0.996258858287731,5.7316438028257e-05,362,361,26,112225,112225,0.00334957242012024,JH_He_Table51_basis_byM_sample0006_kappa5_inner1_M335.mat
7,5,2,0.03125,361,1,224,136,-2.89967512291905,0.00404925411507318,-2.28857192387846,-1.1723648745746,0.56126167553401,334,projected-full-eig-direct,8.85580842730583e-17,4.3465297,0.0265516,0.0012135,0.0026278,0.0129164,0.2501328,4.3935004,4.6436332,59.7458036,1,0.996258858287731,5.73164380290446e-05,362,361,0,130321,130321,0.00388926267623901,JH_He_Table51_basis_byM_sample0007_kappa5_inner2_M361.mat
8,6,1,0.015625,361,1,224,136,-2.89967512291905,0.00404925411507318,-2.28857192387846,-1.1723648745746,0.56126167553401,334,projected-full-eig-direct,8.85580842730583e-17,4.8506522,0.021633,0.0004961,0.0025494,0.2687207,0.3009472,5.1457908,5.446738,65.4309294,11,0.996258858287731,5.73164380290446e-05,546,487,126,130321,130321,0.00388926267623901,JH_He_Table51_basis_byM_sample0008_kappa6_inner1_M361.mat
9,6,2,0.015625,487,1,224,262,-2.90088483746582,0.00283953956829919,-2.26363325327063,-1.2736261478641,0.636374563668908,454,projected-full-eig-direct,5.17454411052849e-17,6.3607438,0.052557,0.001072,0.0032307,0.2838995,0.271531,6.7036069,6.9751379,72.4365968,17,0.995999083816547,1.74421620809381e-05,828,685,198,237169,237169,0.00707545876502991,JH_He_Table51_basis_byM_sample0009_kappa6_inner2_M487.mat
10,6,3,0.015625,685,1,224,460,-2.90179943060975,0.00192494642436758,-1.91574100185569,-1.99894892158237,1.01289049282831,652,projected-full-eig-direct,9.46565864081616e-17,8.3324915,0.1146706,0.0010143,0.0077061,0.3041262,0.3000854,8.7622124,9.0622978,81.4718458,31,0.996024735912847,5.63837908177382e-05,1054,781,96,469225,469225,0.0139942169189453,JH_He_Table51_basis_byM_sample0010_kappa6_inner3_M685.mat
