mode,nu,thr,M,Mzero,Mone,Mtwo_uu,E,dE
raw_coeff,0,1,1,1,0,0,-2.17424361453112,0.000481248584334182
raw_coeff,1,0.5,1,1,0,0,-2.17424361453112,0.000481248584334182
raw_coeff,2,0.25,1,1,0,0,-2.17424361453112,0.000481248584334182
raw_coeff,3,0.125,1,1,0,0,-2.17424361453112,0.000481248584334182
raw_coeff,4,0.0625,1,1,0,0,-2.17424361453112,0.000481248584334182
raw_coeff,5,0.03125,2,1,1,0,-2.17424361453112,0.000481248584334626
raw_coeff,6,0.015625,2,1,1,0,-2.17424361453112,0.000481248584334626
raw_coeff,7,0.0078125,20,1,19,0,-2.1742436145346,0.000481248580852522
raw_coeff,8,0.00390625,34,1,33,0,-2.17424361454793,0.000481248567523185
raw_coeff,9,0.001953125,106,1,51,54,-2.17461762269065,0.000107240424797261
raw_coeff,10,0.0009765625,214,1,63,150,-2.1746513471561,7.35159593552304e-05
raw_coeff,11,0.00048828125,314,1,115,198,-2.17471072101832,1.41420971315753e-05
raw_coeff,12,0.000244140625,424,1,153,270,-2.17472024786888,4.61524657380252e-06
raw_coeff,13,0.0001220703125,448,1,153,294,-2.17472217446556,2.68864989427797e-06
raw_coeff,14,6.103515625e-05,550,1,207,342,-2.17472360133161,1.26178384052267e-06
raw_coeff,15,3.0517578125e-05,654,1,263,390,-2.17472383451968,1.02859576855963e-06
raw_coeff,16,1.52587890625e-05,715,1,300,414,-2.17472467849009,1.84625363885971e-07
raw_coeff,17,7.62939453125e-06,815,1,328,486,-2.1747248195466,4.35688458644279e-08
raw_coeff,18,3.814697265625e-06,835,1,342,492,-2.17472486006187,3.05358272001399e-09
raw_coeff,19,1.9073486328125e-06,847,1,354,492,-2.17472486013879,2.97665803117297e-09
raw_coeff,20,9.5367431640625e-07,847,1,354,492,-2.17472486013879,2.97665803117297e-09
raw_coeff,21,4.76837158203125e-07,907,1,366,540,-2.17472486302656,8.88866757975393e-11
raw_coeff,22,2.38418579101562e-07,931,1,366,564,-2.17472486311509,3.64153152077051e-13
raw_coeff,23,1.19209289550781e-07,931,1,366,564,-2.17472486311509,3.64153152077051e-13
raw_coeff,24,5.96046447753906e-08,931,1,366,564,-2.17472486311509,3.64153152077051e-13
raw_coeff,25,2.98023223876953e-08,931,1,366,564,-2.17472486311509,3.64153152077051e-13
raw_coeff,26,1.49011611938477e-08,931,1,366,564,-2.17472486311509,3.64153152077051e-13
raw_coeff,27,7.45058059692383e-09,955,1,366,588,-2.17472486311514,3.11306536104894e-13
raw_coeff,28,3.72529029846191e-09,1003,1,366,636,-2.17472486311541,4.04121180963557e-14
raw_coeff,29,1.86264514923096e-09,1027,1,366,660,-2.17472486311546,-5.32907051820075e-15
raw_coeff,30,9.31322574615479e-10,1027,1,366,660,-2.17472486311546,-5.32907051820075e-15
raw_coeff,31,4.65661287307739e-10,1027,1,366,660,-2.17472486311546,-5.32907051820075e-15
raw_coeff,32,2.3283064365387e-10,1051,1,366,684,-2.17472486311545,0
raw_coeff,33,1.16415321826935e-10,1051,1,366,684,-2.17472486311545,0
raw_coeff,34,5.82076609134674e-11,1051,1,366,684,-2.17472486311545,0
raw_coeff,35,2.91038304567337e-11,1051,1,366,684,-2.17472486311545,0
raw_coeff,36,1.45519152283669e-11,1051,1,366,684,-2.17472486311545,0
