nu,thr,M,Mzero,Mone,Mtwo_ud,Mtwo_uu,Mthree,E,dE,err,keptDim
0,1,1,1,0,0,0,0,-7.43271205600665,0.0389947120565033,0.0453479439933497,1
1,0.5,1,1,0,0,0,0,-7.43271205600665,0.0389947120565033,0.0453479439933497,1
2,0.25,1,1,0,0,0,0,-7.43271205600665,0.0389947120565033,0.0453479439933497,1
3,0.125,1,1,0,0,0,0,-7.43271205600665,0.0389947120565033,0.0453479439933497,1
4,0.0625,1,1,0,0,0,0,-7.43271205600665,0.0389947120565033,0.0453479439933497,1
5,0.03125,4,1,2,1,0,0,-7.44193378576779,0.029772982295361,0.0361262142322074,4
6,0.015625,5,1,2,2,0,0,-7.44195944443997,0.0297473236231802,0.0361005555600267,5
7,0.0078125,12,1,3,2,6,0,-7.44199155303723,0.0297152150259263,0.0360684469627728,12
8,0.00390625,60,1,21,32,6,0,-7.46521986669978,0.00648690136337127,0.0128401333002177,60
9,0.001953125,146,1,63,46,36,0,-7.46857003218849,0.00313673587466656,0.00948996781151301,146
10,0.0009765625,226,1,113,76,36,0,-7.47095019246146,0.000756575601696063,0.00710980753854251,226
11,0.00048828125,378,1,155,126,60,36,-7.47157451919114,0.00013224887200991,0.00648548080885636,378
12,0.000244140625,508,1,201,132,108,66,-7.47161988797298,8.68800901692168e-05,0.00644011202701567,508
13,0.0001220703125,690,1,239,156,180,114,-7.47164056283565,6.62052275028913e-05,0.00641943716434934,690
14,6.103515625e-05,812,1,263,182,204,162,-7.47169251337444,1.4254688713855e-05,0.0063674866255603,812
15,3.0517578125e-05,996,1,305,204,228,258,-7.47170422287111,2.54519204556658e-06,0.00635577712889202,996
16,1.52587890625e-05,1126,1,351,216,276,282,-7.47170501551144,1.75255171619426e-06,0.00635498448856264,1126
17,7.62939453125e-06,1222,1,399,216,300,306,-7.47170511747123,1.65059192358541e-06,0.00635488252877003,1222
18,3.814697265625e-06,1286,1,429,250,300,306,-7.47170674775392,2.03092316297671e-08,0.00635325224607808,1286
19,1.9073486328125e-06,1322,1,447,268,300,306,-7.47170675630709,1.17560636780922e-08,0.00635324369291013,1322
20,9.5367431640625e-07,1406,1,459,268,372,306,-7.47170676563595,2.42719888632337e-09,0.00635323436404533,1406
21,4.76837158203125e-07,1438,1,471,288,372,306,-7.47170676777564,2.87514900776387e-10,0.00635323222436135,1438
22,2.38418579101562e-07,1438,1,471,288,372,306,-7.47170676777564,2.87514900776387e-10,0.00635323222436135,1438
23,1.19209289550781e-07,1470,1,471,296,396,306,-7.47170676798109,8.20614687313537e-11,0.00635323201890792,1470
24,5.96046447753906e-08,1476,1,471,302,396,306,-7.4717067679945,6.86517509507212e-11,0.0063532320054982,1476
25,2.98023223876953e-08,1536,1,471,314,444,306,-7.47170676806034,2.8155255904494e-12,0.00635323193966197,1536
26,1.49011611938477e-08,1584,1,471,314,492,306,-7.47170676806284,3.10862446895044e-13,0.00635323193715731,1584
27,7.45058059692383e-09,1584,1,471,314,492,306,-7.47170676806284,3.10862446895044e-13,0.00635323193715731,1584
28,3.72529029846191e-09,1608,1,471,314,516,306,-7.47170676806296,1.91846538655227e-13,0.0063532319370383,1608
29,1.86264514923096e-09,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
30,9.31322574615479e-10,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
31,4.65661287307739e-10,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
32,2.3283064365387e-10,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
33,1.16415321826935e-10,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
34,5.82076609134674e-11,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
35,2.91038304567337e-11,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
36,1.45519152283669e-11,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
37,7.27595761418343e-12,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
38,3.63797880709171e-12,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
39,1.81898940354586e-12,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
40,9.09494701772928e-13,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
41,4.54747350886464e-13,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
42,2.27373675443232e-13,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
43,1.13686837721616e-13,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
44,5.6843418860808e-14,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
45,2.8421709430404e-14,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
46,1.4210854715202e-14,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
47,7.105427357601e-15,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
48,3.5527136788005e-15,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
49,1.77635683940025e-15,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
50,8.88178419700125e-16,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
51,4.44089209850063e-16,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
52,2.22044604925031e-16,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
53,1.11022302462516e-16,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
54,5.55111512312578e-17,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
55,2.77555756156289e-17,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
56,1.38777878078145e-17,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
57,6.93889390390723e-18,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
58,3.46944695195361e-18,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
59,1.73472347597681e-18,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
60,8.67361737988404e-19,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
61,4.33680868994202e-19,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
62,2.16840434497101e-19,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
63,1.0842021724855e-19,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
64,5.42101086242752e-20,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
65,2.71050543121376e-20,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
66,1.35525271560688e-20,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
67,6.7762635780344e-21,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
68,3.3881317890172e-21,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
69,1.6940658945086e-21,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
70,8.470329472543e-22,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
71,4.2351647362715e-22,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
72,2.11758236813575e-22,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
73,1.05879118406788e-22,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
74,5.29395592033938e-23,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
75,2.64697796016969e-23,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
76,1.32348898008484e-23,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
77,6.61744490042422e-24,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
78,3.30872245021211e-24,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
79,1.65436122510606e-24,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
80,8.27180612553028e-25,1680,1,471,314,588,306,-7.47170676806315,0,0.00635323193684645,1680
