sampleID,M,Mzero,Mone,Mtwo_ud,Mtwo_uu,Mthree,N1,basisFile,detScaleMode,bSOG,sigmaSOG,M1,M2,oneParticleTime_SOG,detAssemblyTime_SOG,assemblyTime_SOG_total,solveTime_SOG,blockEnergyTime_SOG,totalTime_SOG,E_SOG,errExact_SOG,errTilde_SOG,kept_SOG,solverResidual_SOG,nnzS_SOG,nnzH_SOG,sparseGB_est_SOG,Ven1_maxAbsDiff,Ven1_relFrobDiff,Hen_maxAbsDiff,Hen_relFrobDiff,Vee_maxAbsDiff,Vee_relFrobDiff,H_maxAbsDiff,H_relFrobDiff,exact_E_adaptive,exact_err_adaptive,exact_assemblyTime_adaptive,exact_solveTime_adaptive,Ediff_SOG_minus_exactAdaptive,absEdiff_SOG_minus_exactAdaptive
1,690,1,239,156,180,114,454,JH_LiGround_Table59_basis_byM_nu13_M690_sample0005_kappa5_inner1_M690.mat,l2_normalized,1.3,1,80,150,4.8841428,2552.4100117,2557.2941545,0.0504957,0.0125253,2557.3571755,-7.47164055962639,0.00641944037361508,0.00537944037361537,690,5.88888972888245e-15,449532,476100,0.0138032883405685,1.63883129289388e-09,6.16042396192274e-11,4.81668585209431e-09,2.95974512735648e-10,1.60482814002543e-09,5.66704256245924e-10,3.21210657941569e-09,2.67686128093176e-10,-7.47164056283564,0.00641943716436355,50.5874058,0.0700719,3.20925153118878e-09,3.20925153118878e-09
2,714,1,239,180,180,114,454,JH_LiGround_Table59_basis_byM_nu13_M690_sample0007_kappa6_inner1_M714.mat,l2_normalized,1.3,1,80,150,4.3811296,2618.6231662,2623.0042958,0.0589881,0.010753,2623.0740369,-7.4731690069616,0.00489099303840224,0.00385099303840253,714,2.88110458187481e-15,483228,509796,0.014807865023613,1.63883129289388e-09,6.16042396192274e-11,4.81668585209431e-09,3.09289411206067e-10,1.60482814002543e-09,5.9578070187966e-10,3.21210657941569e-09,2.83784084792971e-10,-7.4731690101709,0.00489098982909564,51.7285152,0.0715592,3.20930659825081e-09,3.20930659825081e-09
3,738,1,239,204,180,114,466,JH_LiGround_Table59_basis_byM_nu13_M690_sample0009_kappa7_inner1_M738.mat,l2_normalized,1.3,1,80,150,4.674479,2724.1462273,2728.8207063,0.0611456,0.0108533,2728.8927052,-7.47329220177532,0.00476779822467854,0.00372779822467884,738,3.55122507828706e-15,518076,544644,0.015846773982048,1.63883129289388e-09,6.22299477366496e-11,4.81668585209431e-09,3.07282372412029e-10,1.60482814002543e-09,5.92552777851169e-10,3.21210657941569e-09,2.93480450904308e-10,-7.47329220498458,0.00476779501542435,52.9651413,0.0799661,3.20925419572404e-09,3.20925419572404e-09
4,1461,1,299,762,285,114,514,JH_LiGround_Table59_basis_byM_nu13_M690_sample0010_kappa7_inner2_M1461.mat,l2_normalized,1.3,1,80,150,5.7155932,8144.844253,8150.5598462,0.381061,0.0383463,8150.9792535,-7.47580359808869,0.00225640191131138,0.00121640191131167,1461,1.93327390547614e-15,2088411,2125167,0.0628089904785156,1.63883129289388e-09,6.4883635302959e-11,4.83432665651766e-09,3.32904812571963e-10,1.60513727070289e-09,6.46426968407609e-10,3.2297547243583e-09,4.25360641519937e-10,-7.47580360129795,0.00225639870205097,142.3010829,0.4875766,3.20926041297298e-09,3.20926041297298e-09
5,1739,1,299,1040,285,114,604,JH_LiGround_Table59_basis_byM_nu13_M690_sample0012_kappa8_inner1_M1739.mat,l2_normalized,1.3,1,80,150,7.9065076,10141.2528739,10149.1593815,0.5996797,0.0616592,10149.8207204,-7.47581920769954,0.00224079230045682,0.00120079230045711,1739,2.12443861339086e-15,2975203,3013759,0.0892684161663055,1.89275861650628e-09,6.92689838577e-11,4.83432665651766e-09,3.3026199711205e-10,1.60545237256995e-09,6.47268065221983e-10,3.2297547243583e-09,4.49600068565493e-10,-7.47581921090882,0.00224078909117686,157.2497668,0.7241566,3.20927995289821e-09,3.20927995289821e-09
6,2503,1,395,1406,587,114,604,JH_LiGround_Table59_basis_byM_nu13_M690_sample0013_kappa8_inner2_M2503.mat,l2_normalized,1.3,1,80,150,8.039679,21054.2369678,21062.2766468,1.701812,0.1107173,21064.0891761,-7.47614562393883,0.00191437606117084,0.000874376061171134,2503,5.30487978829417e-15,6196279,6251767,0.18552765250206,1.89275861650628e-09,6.92689838577e-11,5.10221796895551e-09,3.38668157603693e-10,1.60545237256995e-09,6.55681717854813e-10,3.49684643098939e-09,4.51208681271178e-10,-7.47614562714817,0.00191437285182516,319.5605948,2.1081548,3.20934567810127e-09,3.20934567810127e-09
7,3244,1,395,2054,680,114,784,JH_LiGround_Table59_basis_byM_nu13_M690_sample0015_kappa9_inner1_M3244.mat,l2_normalized,1.3,1,80,150,13.1914336,30852.8186366,30866.0100702,3.6990972,0.1902146,30869.899382,-7.47648384836432,0.00157615163568092,0.000536151635681215,3244,3.37435397391521e-15,10438432,10501552,0.312078431248665,1.89275861650628e-09,7.75480665404382e-11,5.10221796895551e-09,3.35646965589896e-10,1.60857148596731e-09,6.48301853060263e-10,3.49684643098939e-09,4.33135770040201e-10,-7.47648385157364,0.00157614842635834,487.1528839,4.3569384,3.20932258546236e-09,3.20932258546236e-09
8,5939,1,451,4522,680,285,1024,JH_LiGround_Table59_basis_byM_nu13_M690_sample0016_kappa9_inner2_M5939.mat,l2_normalized,1.3,1,80,150,21.4804799,81593.641995,81615.1224749,28.7615423,0.5816954,81644.4657126,-7.47674560219596,0.00131439780404463,0.000274397804044924,5939,5.82418710769554e-15,35082415,35217823,1.04764369130135,2.42943465345036e-09,8.85638182602591e-11,5.10221796895551e-09,3.52018902240725e-10,1.61239793551038e-09,6.83453336635609e-10,3.49684643098939e-09,4.25893098767612e-10,-7.47674560540522,0.00131439459478422,1198.9017476,32.0247918,3.20926041297298e-09,3.20926041297298e-09
9,8590,1,487,6570,1247,285,1176,JH_LiGround_Table59_basis_byM_nu13_M690_sample0017_kappa9_inner3_M8590.mat,l2_normalized,1.3,1,80,150,27.6340019,141870.4228508,141898.0568527,75.4040131,1.3482819,141974.8091477,-7.47680830569946,0.00125169430054051,0.000211694300540799,8590,1.00066838896982e-14,73452244,73684804,2.19264088571072,2.85808232636242e-09,9.7149394923861e-11,5.63877344391719e-09,3.58121545367866e-10,1.66490550889752e-09,7.09754063491175e-10,3.97386704677066e-09,4.43625330176717e-10,-7.47680830890868,0.00125169109132006,2195.6668884,79.2182844,3.20922044494409e-09,3.20922044494409e-09
10,10992,1,535,7952,2219,285,1608,JH_LiGround_Table59_basis_byM_nu13_M690_sample0018_kappa10_inner1_M10992.mat,l2_normalized,1.3,1,80,150,54.2288235,217164.2895812,217218.5184047,151.0677082,2.3061092,217371.8922221,-7.47682471095065,0.00123528904934744,0.000195289049347735,10991,1.89388096254306e-10,120159576,120632832,3.58825029432774,3.19454596109381e-09,1.14110814051244e-10,6.06741098755263e-09,3.59188211835431e-10,1.66490550889752e-09,7.19255828242861e-10,4.4118617248942e-09,4.70845395424074e-10,-7.47682471416008,0.00123528583992449,3356.822468,160.6800142,3.20942294962379e-09,3.20942294962379e-09
