sampleID,kappa,inner,epsilon,M,Mzero,Mone,Mtwo_ud,Mtwo_uu,Mthree,E,err,Ezero,Eone,Etwo_ud,Etwo_uu,Ethree,kept,solverResidual,assemblyTime,solveTime,importanceTime,blockEnergyTime,growTime,saveTime,totalInnerTimeNoSave,totalInnerTimeWithSave,cumulativeTime,nImportant,scoreMax,scoreMinNonzero,nGrowRaw,nNewM,nAdded,nnzS,nnzH,sparseGB_est,basisFile
1,1,1,0.5,690,1,239,156,180,114,-7.47164056283564,0.00641943716436355,-6.82817231820201,-1.24144129604233,0.584343586626936,0.00981324229362848,0.00381622248816487,690,2.37396861100921e-15,52.9963112,0.0733013,0.0017168,0.0116923,0.0148857,0.3142223,53.1006618,53.4148841,53.1027765,1,0.998458242841088,5.52199371485472e-06,691,690,0,449532,476100,0.0138032883405685,JH_LiGround_Table59_basis_byM_nu13_M690_sample0001_kappa1_inner1_M690.mat
2,2,1,0.25,690,1,239,156,180,114,-7.47164056283564,0.00641943716436355,-6.82817231820201,-1.24144129604233,0.584343586626936,0.00981324229362848,0.00381622248816487,690,2.37396861100921e-15,50.0886361,0.0634627,0.0010531,0.011301,0.0145181,0.3200027,50.1814564,50.5014591,103.9093323,1,0.998458242841088,5.52199371485472e-06,691,690,0,449532,476100,0.0138032883405685,JH_LiGround_Table59_basis_byM_nu13_M690_sample0002_kappa2_inner1_M690.mat
3,3,1,0.125,690,1,239,156,180,114,-7.47164056283564,0.00641943716436355,-6.82817231820201,-1.24144129604233,0.584343586626936,0.00981324229362848,0.00381622248816487,690,2.37396861100921e-15,49.3888222,0.0667241,0.0010088,0.0092189,0.0140511,0.314543,49.4822027,49.7967457,154.0209289,1,0.998458242841088,5.52199371485472e-06,691,690,0,449532,476100,0.0138032883405685,JH_LiGround_Table59_basis_byM_nu13_M690_sample0003_kappa3_inner1_M690.mat
4,4,1,0.0625,690,1,239,156,180,114,-7.47164056283564,0.00641943716436355,-6.82817231820201,-1.24144129604233,0.584343586626936,0.00981324229362848,0.00381622248816487,690,2.37396861100921e-15,48.796062,0.0678554,0.001201,0.0098216,0.014516,0.3298474,48.8930822,49.2229296,203.5323037,1,0.998458242841088,5.52199371485472e-06,691,690,0,449532,476100,0.0138032883405685,JH_LiGround_Table59_basis_byM_nu13_M690_sample0004_kappa4_inner1_M690.mat
5,5,1,0.03125,690,1,239,156,180,114,-7.47164056283564,0.00641943716436355,-6.82817231820201,-1.24144129604233,0.584343586626936,0.00981324229362848,0.00381622248816487,690,2.37396861100921e-15,50.5874058,0.0700719,0.0033883,0.0137687,0.0504223,0.3262422,50.7301445,51.0563867,254.9119031,3,0.998458242841088,5.52199371485472e-06,730,714,24,449532,476100,0.0138032883405685,JH_LiGround_Table59_basis_byM_nu13_M690_sample0005_kappa5_inner1_M690.mat
6,5,2,0.03125,714,1,239,180,180,114,-7.4731690101709,0.00489098982909564,-6.14917589186365,-2.61652865135301,1.27775122645523,0.027894759055685,-0.0131104524651448,714,2.15235273320274e-15,51.2472908,0.0692333,0.0009172,0.0084659,0.0256471,0.3174028,51.3540244,51.6714272,306.5969994,4,0.998403209949159,2.12612778040106e-05,767,714,0,483228,509796,0.014807865023613,JH_LiGround_Table59_basis_byM_nu13_M690_sample0006_kappa5_inner2_M714.mat
7,6,1,0.015625,714,1,239,180,180,114,-7.4731690101709,0.00489098982909564,-6.14917589186365,-2.61652865135301,1.27775122645523,0.027894759055685,-0.0131104524651448,714,2.15235273320274e-15,51.7285152,0.0715592,0.0008173,0.008573,0.0286798,0.3277936,51.8398512,52.1676448,359.0816203,5,0.998403209949159,2.12612778040106e-05,793,738,24,483228,509796,0.014807865023613,JH_LiGround_Table59_basis_byM_nu13_M690_sample0007_kappa6_inner1_M714.mat
8,6,2,0.015625,738,1,239,204,180,114,-7.47329220498458,0.00476779501542435,-6.14820996843867,-2.59933070408972,1.25883425632128,0.0160009752138587,-0.000586763991387396,738,5.675819985388e-15,52.9918315,0.0775922,0.0008442,0.009922,0.0254152,0.3299554,53.1072553,53.4372107,412.5195285,5,0.998370758480536,4.11420603829929e-06,817,738,0,518076,544644,0.015846773982048,JH_LiGround_Table59_basis_byM_nu13_M690_sample0008_kappa6_inner2_M738.mat
9,7,1,0.0078125,738,1,239,204,180,114,-7.47329220498458,0.00476779501542435,-6.14820996843867,-2.59933070408972,1.25883425632128,0.0160009752138587,-0.000586763991387396,738,5.675819985388e-15,52.9651413,0.0799661,0.0008029,0.0096138,0.2151596,0.3624044,53.2724344,53.6348388,466.4441037,54,0.998370758480536,4.11420603829929e-06,1838,1461,723,518076,544644,0.015846773982048,JH_LiGround_Table59_basis_byM_nu13_M690_sample0009_kappa7_inner1_M738.mat
10,7,2,0.0078125,1461,1,299,762,285,114,-7.47580360129795,0.00225639870205097,-5.5201039270255,-3.80765605667964,1.8437738317435,0.00439640571050401,0.00378614495320176,1461,3.1791148424044e-15,142.3010829,0.4875766,0.0018561,0.0359221,0.2459711,0.5118531,143.0747423,143.5865954,609.8842465,60,0.998184868155126,9.10013147469095e-15,2741,1739,278,2088411,2125167,0.0628089904785156,JH_LiGround_Table59_basis_byM_nu13_M690_sample0010_kappa7_inner2_M1461.mat
