macro,energy_hartree,relative_error,dE,grad_orb,grad_ci,ddm,max_rot,jk_this_macro,micro_this_macro,total_jk,total_micro,macro_step_wall_s,cumulative_macro_wall_s,cumulative_casscf_wall_s,cumulative_peak_rss_mb
1,-14.620895146535693,0.003167908435076763,-14.620895146535693,0.008692682510546253,0.030826204044735663,0.0002223762056142173,,6,1,0,0,884.9520861030032,884.9520861030032,2042.6802792579983,2034.234375
1,-14.620895146535693,0.003167908435076763,-14.620895146535693,0.008692682510546253,0.03434464813171859,0.0005173371540504369,,11,2,0,0,879.4116440340003,1764.3637301370036,2922.0919232919987,2111.41015625
1,-14.620895146535693,0.003167908435076763,-14.620895146535693,0.008692682510546253,0.03294611108449741,0.0008072294171412761,,16,3,0,0,885.8005789619929,2650.1643090989965,3807.8925022539916,2111.41015625
1,-14.624909239827891,0.0028942331934382814,-0.004014093292198595,0.008692682510546253,0.03294611108449741,0.0013419110163723435,0.31217656961619666,21,4,21,4,1232.256285815005,3882.4205949140014,5040.1487880689965,2128.0234375
2,-14.624909239827891,0.0028942331934382814,-0.004014093292198595,0.00943073780281199,0.04508524221735883,0.0008454979689631146,0.31217656961619666,6,1,21,4,666.9927907679958,4549.413385681997,5707.141578836992,2128.0234375
2,-14.624909239827891,0.0028942331934382814,-0.004014093292198595,0.00943073780281199,0.054370391607061,0.0017469674827122104,0.31217656961619666,11,2,21,4,863.9610954469972,5413.374481128994,6571.1026742839895,2128.0234375
2,-14.624909239827891,0.0028942331934382814,-0.004014093292198595,0.00943073780281199,0.054440001577151655,0.002199568666023892,0.31217656961619666,16,3,21,4,881.2079495510116,6294.582430680006,7452.310623835001,2128.0234375
2,-14.632999970585816,0.002342618536272674,-0.008090730757924547,0.00943073780281199,0.054440001577151655,0.0025158402724994164,0.3057408159671975,21,4,42,8,1498.3636368739972,7792.946067554003,8950.674260708998,2128.0234375
3,-14.632999970585816,0.002342618536272674,-0.008090730757924547,0.021207351752175394,0.037124732404725753,0.00024167894203556327,0.3057408159671975,6,1,42,8,655.6664373559906,8448.612504909994,9606.340698064989,2128.0234375
3,-14.632999970585816,0.002342618536272674,-0.008090730757924547,0.021207351752175394,0.03129602437053248,0.00045416205992253523,0.3057408159671975,11,2,42,8,829.5689665790123,9278.181471489006,10435.909664644001,2128.0234375
