macro,energy_hartree,relative_error,dE,grad_orb,grad_ci,ddm,max_rot,jk_this_macro,micro_this_macro,total_jk,total_micro,macro_step_wall_s,cumulative_macro_wall_s,cumulative_casscf_wall_s,cumulative_peak_rss_mb
1,-2.90279702770787,0.00031936547889297985,-2.90279702770787,0.003282658867096196,0.010519379041343962,8.697294315320848e-05,,6,1,0,0,656.1900428100489,656.1900428100489,831.004087519017,29216.25
1,-2.90279702770787,0.00031936547889297985,-2.90279702770787,0.003282658867096196,0.007489923823512306,0.00021172883836350002,,11,2,0,0,383.8217976859887,1040.0118404960376,1214.8258852050058,30194.20703125
1,-2.90279702770787,0.00031936547889297985,-2.90279702770787,0.003282658867096196,0.004845078072269251,0.0003109184530003713,,16,3,0,0,383.30109231895767,1423.3129328149953,1598.1269775239634,30194.75390625
1,-2.9031909711916533,0.00018369713278576887,-0.00039394348378340993,0.003282658867096196,0.004845078072269251,0.0007168380134812014,0.3062696388774703,21,4,21,4,400.63665998901706,1823.9495928040124,1998.7636375129805,30195.546875
2,-2.9031909711916533,0.00018369713278576887,-0.00039394348378340993,0.000550307853690867,0.003776143438888431,2.572112954967812e-05,0.3062696388774703,6,1,21,4,549.068211345002,2373.0178041490144,2547.8318488579825,30195.546875
2,-2.9031909711916533,0.00018369713278576887,-0.00039394348378340993,0.000550307853690867,0.0036152576668367817,6.222661765497946e-05,0.3062696388774703,11,2,21,4,380.832812845998,2753.8506169950124,2928.6646617039805,30195.546875
2,-2.9031909711916533,0.00018369713278576887,-0.00039394348378340993,0.000550307853690867,0.002551691519474463,9.755245763810187e-05,0.3062696388774703,16,3,21,4,379.8588298659888,3133.709446861001,3308.5234915699693,30195.546875
2,-2.903314876561946,0.00014102594426911307,-0.00012390537029283166,0.000550307853690867,0.002551691519474463,0.00023408226105222607,0.27789532586492793,21,4,42,8,420.0100925170118,3553.719539378013,3728.533584086981,30195.546875
3,-2.903314876561946,0.00014102594426911307,-0.00012390537029283166,0.00010473104354985317,0.003655074079188764,1.4472715865571904e-05,0.27789532586492793,6,1,42,8,552.760664211004,4106.480203589017,4281.294248297985,30195.546875
3,-2.903314876561946,0.00014102594426911307,-0.00012390537029283166,0.00010473104354985317,0.00424430220612497,3.2885342770304966e-05,0.27789532586492793,11,2,42,8,379.71057983400533,4486.190783423022,4661.0048281319905,30195.546875
3,-2.903314876561946,0.00014102594426911307,-0.00012390537029283166,0.00010473104354985317,0.0037450711567162138,5.4458313681191515e-05,0.27789532586492793,16,3,42,8,381.5138167589903,4867.704600182013,5042.518644890981,30195.546875
3,-2.9033677204287645,0.00012282729317250344,-5.284386681836395e-05,0.00010473104354985317,0.0037450711567162138,0.0001427886885785563,0.21117187234494225,16,3,58,11,223.7404983630404,5091.445098545053,5266.259143254021,30195.546875
4,-2.9033677204287645,0.00012282729317250344,-5.284386681836395e-05,8.090793601081725e-05,0.0023986929015200244,4.88499199849225e-06,0.21117187234494225,5,1,58,11,548.9582010129816,5640.403299558035,5815.217344267003,30195.546875
4,-2.903374110078111,0.00012062679184494874,-6.389649346516535e-06,8.090793601081725e-05,0.0023986929015200244,1.907716692360771e-05,0.03451016039519126,5,1,63,12,225.0839657280012,5865.487265286036,6040.301309995004,30195.546875
5,-2.903374110078111,0.00012062679184494874,-6.389649346516535e-06,0.00015888033349417192,0.0030895197911578747,3.627054650708107e-06,0.03451016039519126,6,1,63,12,552.4371000239626,6417.924365309998,6592.7384100189665,30195.546875
5,-2.903374110078111,0.00012062679184494874,-6.389649346516535e-06,0.00015888033349417192,0.002422654156423387,8.871446268754337e-06,0.03451016039519126,11,2,63,12,382.0135816700058,6799.937946980004,6974.751991688972,30195.546875
5,-2.903374110078111,0.00012062679184494874,-6.389649346516535e-06,0.00015888033349417192,0.001276682261782403,1.5800763981987934e-05,0.03451016039519126,14,3,63,12,379.0704167720396,7179.008363752044,7353.822408461012,30195.546875
5,-2.903403605132386,0.00011046912863550516,-2.9495054274963906e-05,0.00015888033349417192,0.001276682261782403,4.335473525265337e-05,0.2629862683141138,19,4,82,16,439.7210214359802,7618.729385188024,7793.543429896992,30195.546875
6,-2.903403605132386,0.00011046912863550516,-2.9495054274963906e-05,0.00011529812976449855,0.0027775883086857108,4.9164797700787295e-06,0.2629862683141138,6,1,82,16,549.6426047220011,8168.371989910025,8343.186034618993,30195.546875
6,-2.903403605132386,0.00011046912863550516,-2.9495054274963906e-05,0.00011529812976449855,0.002408842315975115,1.315509190712335e-05,0.2629862683141138,11,2,82,16,380.7127484729863,8549.084738383011,8723.89878309198,30195.546875
