macro,energy_hartree,relative_error,dE,grad_orb,grad_ci,ddm,max_rot,jk_this_macro,micro_this_macro,total_jk,total_micro,macro_step_wall_s,cumulative_macro_wall_s,cumulative_casscf_wall_s,cumulative_peak_rss_mb
1,-2.173442225399761,0.0008215928190888022,-2.173442225399761,1.795096104968205e-05,2.2299525449514355e-05,1.6966035100926943e-07,,5,1,0,0,355.5213520030011,355.5213520030011,510.1098983769989,13768.91796875
1,-2.173442240078165,0.0008215860711090385,-1.4678403825740816e-08,1.795096104968205e-05,2.2299525449514355e-05,2.656825396684615e-07,0.019220422489365546,5,1,5,1,131.45193324299908,486.97328524600016,641.561831619998,13768.91796875
2,-2.173442240078165,0.0008215860711090385,-1.4678403825740816e-08,1.6302661961912413e-05,6.133224748796239e-05,2.2786690888774622e-07,0.019220422489365546,6,1,5,1,280.1477179400026,767.1210031860028,921.7095495600006,13769.796875
2,-2.173442240078165,0.0008215860711090385,-1.4678403825740816e-08,1.6302661961912413e-05,1.799121093692761e-05,4.463765459369811e-07,0.019220422489365546,9,2,5,1,286.3490004129999,1053.4700035990027,1208.0585499730005,13770.7890625
2,-2.173442274695009,0.0008215701569969894,-3.461684405792198e-08,1.6302661961912413e-05,1.799121093692761e-05,9.695670047473579e-07,0.09756750971488533,9,2,14,3,131.54108695700415,1185.0110905560068,1339.5996369300046,13770.7890625
3,-2.173442274695009,0.0008215701569969894,-3.461684405792198e-08,2.1047821427225996e-05,4.7901884379875824e-05,1.6531748190118678e-07,0.09756750971488533,6,1,14,3,279.671258630995,1464.6823491870018,1619.2708955609996,13771.1484375
3,-2.1734422792883783,0.0008215680453257852,-4.5933692405242255e-09,2.1047821427225996e-05,4.7901884379875824e-05,2.9044588684334747e-07,0.05838598949969065,6,1,20,4,131.0951455100003,1595.777494697002,1750.366041071,13771.1484375
4,-2.1734422792883783,0.0008215680453257852,-4.5933692405242255e-09,1.527926623432922e-05,9.530257768795509e-05,1.6094538448629012e-07,0.05838598949969065,6,1,20,4,280.2216898629995,1875.9991845600016,2030.5877309339994,13771.1484375
4,-2.1734422792883783,0.0008215680453257852,-4.5933692405242255e-09,1.527926623432922e-05,7.961739770367085e-05,3.6979852182429787e-07,0.05838598949969065,11,2,20,4,286.5183620489988,2162.5175466090004,2317.1060929829982,13771.1484375
4,-2.1734422792883783,0.0008215680453257852,-4.5933692405242255e-09,1.527926623432922e-05,6.875319975384988e-05,5.082301371291091e-07,0.05838598949969065,16,3,20,4,286.8365542850006,2449.354100894001,2603.942647267999,13771.1484375
4,-2.1734422893936665,0.0008215633997062184,-1.0105288161810222e-08,1.527926623432922e-05,6.875319975384988e-05,1.127869317778625e-06,0.31065860754610536,21,4,41,8,230.5236044750054,2679.8777053690064,2834.4662517430042,13771.1484375
5,-2.1734422893936665,0.0008215633997062184,-1.0105288161810222e-08,1.2147105500555702e-05,4.101481871409492e-05,1.805157560560553e-07,0.31065860754610536,5,1,41,8,280.1382629609943,2960.0159683300008,3114.6045147039986,13771.1484375
5,-2.1734422893936665,0.0008215633997062184,-1.0105288161810222e-08,1.2147105500555702e-05,1.8526031052784735e-05,3.112771956031695e-07,0.31065860754610536,10,2,41,8,286.8499620280054,3246.865930358006,3401.454476732004,13771.1484375
5,-2.1734422893936665,0.0008215633997062184,-1.0105288161810222e-08,1.2147105500555702e-05,1.4246103308337071e-05,3.8336413753982705e-07,0.31065860754610536,15,3,41,8,286.5500636759971,3533.4159940340032,3688.004540408001,13771.1484375
