macro,energy_hartree,relative_error,dE,grad_orb,grad_ci,ddm,max_rot,jk_this_macro,micro_this_macro,total_jk,total_micro,macro_step_wall_s,cumulative_macro_wall_s,cumulative_casscf_wall_s,cumulative_peak_rss_mb
1,-7.433540874298884,0.005953342144931477,-7.433540874298884,0.001825918671975565,0.023999923212756173,0.0011004596294538866,,6,1,0,0,322.5410150309908,322.5410150309908,532.8065624110022,6999.9453125
1,-7.433540874298884,0.005953342144931477,-7.433540874298884,0.001825918671975565,0.040155116303519936,0.002700284389521339,,11,2,0,0,283.41957294799795,605.9605879789888,816.2261353590002,7322.42578125
1,-7.433540874298884,0.005953342144931477,-7.433540874298884,0.001825918671975565,0.04165141937412212,0.003827397426093629,,16,3,0,0,276.1589667250082,882.119554703997,1092.3851020840084,7325.81640625
1,-7.4387082805087115,0.005262333248966642,-0.005167406209827696,0.001825918671975565,0.04165141937412212,0.00348946057842661,0.279650464910614,21,4,21,4,429.83090791100403,1311.950462615001,1522.2160099950124,8304.171875
2,-7.4387082805087115,0.005262333248966642,-0.005167406209827696,0.02406018265136915,0.03440499227729479,0.0005773223067386473,0.279650464910614,6,1,21,4,272.9129513259977,1584.8634139409987,1795.1289613210101,8304.171875
2,-7.4387082805087115,0.005262333248966642,-0.005167406209827696,0.02406018265136915,0.02921229823930686,0.001052384041416256,0.279650464910614,11,2,21,4,226.7433670499886,1811.6067809909873,2021.8723283709987,8304.171875
2,-7.4387082805087115,0.005262333248966642,-0.005167406209827696,0.02406018265136915,0.024404385272199323,0.0014601664098028188,0.279650464910614,16,3,21,4,195.1629307740077,2006.769711764995,2217.0352591450064,8304.171875
2,-7.447455984979244,0.004092550699858573,-0.008747704470532192,0.02406018265136915,0.024404385272199323,0.0017915562753758262,0.3067554872096498,21,4,42,8,294.7837052579998,2301.553417022995,2511.8189644030062,8305.671875
3,-7.447455984979244,0.004092550699858573,-0.008747704470532192,0.016476196833548,0.04731577442305744,0.0006520762052794395,0.3067554872096498,6,1,42,8,182.80298707299517,2484.35640409599,2694.6219514760014,8305.671875
3,-7.447455984979244,0.004092550699858573,-0.008747704470532192,0.016476196833548,0.05089543322684057,0.0014394445277316698,0.3067554872096498,11,2,42,8,195.25193331899936,2679.6083374149894,2889.873884795001,8305.671875
3,-7.447455984979244,0.004092550699858573,-0.008747704470532192,0.016476196833548,0.047711074539880806,0.002236556227674462,0.3067554872096498,16,3,42,8,203.27994365000632,2882.8882810649957,3093.153828445007,8305.671875
3,-7.459192366401432,0.0025231087709960136,-0.011736381422188025,0.016476196833548,0.047711074539880806,0.0028090539539885402,0.30626475898313643,21,4,63,12,330.55747529599466,3213.4457563609903,3423.7113037410018,8305.671875
4,-7.459192366401432,0.0025231087709960136,-0.011736381422188025,0.009183270617714704,0.027309065525014543,0.000560837280435366,0.30626475898313643,6,1,63,12,187.355602569005,3400.8013589299953,3611.0669063100067,8305.671875
4,-7.459192366401432,0.0025231087709960136,-0.011736381422188025,0.009183270617714704,0.019229559173718755,0.001052093704635756,0.30626475898313643,11,2,63,12,220.95959627299453,3621.76095520299,3832.0265025830013,8305.671875
4,-7.459192366401432,0.0025231087709960136,-0.011736381422188025,0.009183270617714704,0.013662511934899148,0.0014854253884955004,0.30626475898313643,16,3,63,12,232.62401100900024,3854.38496621199,4064.6505135920015,8305.671875
4,-7.468635920532497,0.001260274062611559,-0.009443554131065568,0.009183270617714704,0.013662511934899148,0.0019052556427517642,0.3085869845656469,21,4,84,16,261.8979948000051,4116.282961011995,4326.548508392007,8305.68359375
5,-7.468635920532497,0.001260274062611559,-0.009443554131065568,0.004403876127251488,0.01355288800978851,0.0004022076329259624,0.3085869845656469,6,1,84,16,189.29433027100458,4305.577291283,4515.842838663011,8305.68359375
5,-7.468635920532497,0.001260274062611559,-0.009443554131065568,0.004403876127251488,0.013599825154984454,0.0006234478314869602,0.3085869845656469,11,2,84,16,219.16103658199427,4524.738327864994,4735.0038752450055,8305.68359375
5,-7.468635920532497,0.001260274062611559,-0.009443554131065568,0.004403876127251488,0.013372882014887559,0.000868146330278138,0.3085869845656469,16,3,84,16,233.35336649599776,4758.091694360992,4968.357241741003,8305.68359375
