random seed = 1234
reference_energy=-14.66736 hartree
stage=1 learning_rate=1e-02 epoch=0 rel_error=9.305643776403e-01 num_params=68520
stage=1 learning_rate=1e-02 epoch=100 rel_error=6.804679336922e-01 best_rel_error=6.80e-01 num_params=68520
stage=1 learning_rate=1e-02 epoch=200 rel_error=4.261126900266e-01 best_rel_error=4.26e-01 num_params=68520
stage=1 learning_rate=1e-02 epoch=300 rel_error=2.554727001096e-01 best_rel_error=2.55e-01 num_params=68520
stage=1 learning_rate=1e-02 epoch=400 rel_error=2.045954918547e-01 best_rel_error=2.05e-01 num_params=68520
stage=1 learning_rate=1e-02 epoch=500 rel_error=2.045012046307e-01 best_rel_error=1.94e-01 num_params=68520
stage=1 learning_rate=1e-02 epoch=600 rel_error=1.589519243211e-01 best_rel_error=1.59e-01 num_params=68520
stage=1 learning_rate=1e-02 epoch=700 rel_error=1.356038484810e-01 best_rel_error=1.36e-01 num_params=68520
stage=1 learning_rate=1e-02 epoch=800 rel_error=1.238576213899e-01 best_rel_error=1.24e-01 num_params=68520
stage=1 learning_rate=1e-02 epoch=900 rel_error=1.162457559086e-01 best_rel_error=1.16e-01 num_params=68520
stage=1 learning_rate=1e-02 epoch=1000 rel_error=1.116080467151e-01 best_rel_error=1.12e-01 num_params=68520
stage=1 learning_rate=1e-02 epoch=1100 rel_error=1.074392488060e-01 best_rel_error=1.07e-01 num_params=68520
stage=1 learning_rate=1e-02 epoch=1200 rel_error=1.073390239522e-01 best_rel_error=1.07e-01 num_params=68520
stage=1 learning_rate=1e-02 epoch=1300 rel_error=1.030078973525e-01 best_rel_error=1.03e-01 num_params=68520
stage=1 learning_rate=1e-02 epoch=1400 rel_error=1.013280344035e-01 best_rel_error=1.01e-01 num_params=68520
stage=1 learning_rate=1e-02 epoch=1500 rel_error=1.159686660047e-01 best_rel_error=1.01e-01 num_params=68520
stage=1 learning_rate=1e-02 epoch=1600 rel_error=9.903659238903e-02 best_rel_error=9.90e-02 num_params=68520
stage=1 learning_rate=1e-02 epoch=1700 rel_error=9.831631776878e-02 best_rel_error=9.83e-02 num_params=68520
stage=1 learning_rate=1e-02 epoch=1800 rel_error=9.758020119763e-02 best_rel_error=9.76e-02 num_params=68520
stage=1 learning_rate=1e-02 epoch=1900 rel_error=9.738333950987e-02 best_rel_error=9.74e-02 num_params=68520
stage=1 learning_rate=1e-02 epoch=2000 rel_error=9.697341366351e-02 best_rel_error=9.70e-02 num_params=68520
stage=1 learning_rate=1e-02 epoch=2100 rel_error=9.629464212709e-02 best_rel_error=9.63e-02 num_params=68520
stage=1 learning_rate=1e-02 epoch=2200 rel_error=9.659266838737e-02 best_rel_error=9.61e-02 num_params=68520
stage=1 learning_rate=1e-02 epoch=2300 rel_error=9.660161549772e-02 best_rel_error=9.57e-02 num_params=68520
stage=1 learning_rate=1e-02 epoch=2400 rel_error=9.492666216553e-02 best_rel_error=9.49e-02 num_params=68520
