random seed = 1234
reference_energy=-2.903724377034114 hartree
stage=1 learning_rate=1e-03 epoch=1 rel_error=8.979701498662e-01 num_params=34260
stage=1 learning_rate=1e-03 epoch=100 rel_error=4.383454699531e-01 best_rel_error=4.38e-01 num_params=34260
stage=1 learning_rate=1e-03 epoch=200 rel_error=2.951401891667e-01 best_rel_error=2.95e-01 num_params=34260
stage=1 learning_rate=1e-03 epoch=300 rel_error=2.063734269431e-01 best_rel_error=2.06e-01 num_params=34260
stage=1 learning_rate=1e-03 epoch=400 rel_error=1.685361625001e-01 best_rel_error=1.67e-01 num_params=34260
stage=1 learning_rate=1e-03 epoch=500 rel_error=1.340797107003e-01 best_rel_error=1.32e-01 num_params=34260
stage=1 learning_rate=1e-03 epoch=600 rel_error=1.106935615879e-01 best_rel_error=1.11e-01 num_params=34260
stage=1 learning_rate=1e-03 epoch=700 rel_error=9.783124552317e-02 best_rel_error=9.70e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=800 rel_error=8.826013132412e-02 best_rel_error=8.72e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=900 rel_error=7.820248033616e-02 best_rel_error=7.82e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=1000 rel_error=7.236874790313e-02 best_rel_error=7.24e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=1100 rel_error=6.634837006206e-02 best_rel_error=6.63e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=1200 rel_error=6.404387790116e-02 best_rel_error=6.16e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=1300 rel_error=5.937519904403e-02 best_rel_error=5.86e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=1400 rel_error=5.563447136828e-02 best_rel_error=5.53e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=1500 rel_error=5.187256517156e-02 best_rel_error=5.19e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=1600 rel_error=4.961341683906e-02 best_rel_error=4.93e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=1700 rel_error=4.751853524746e-02 best_rel_error=4.74e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=1800 rel_error=5.644627589133e-02 best_rel_error=4.61e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=1900 rel_error=4.356662690908e-02 best_rel_error=4.36e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=2000 rel_error=4.305648192469e-02 best_rel_error=4.27e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=2100 rel_error=4.145809384653e-02 best_rel_error=4.14e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=2200 rel_error=4.091913376097e-02 best_rel_error=4.05e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=2300 rel_error=3.942157734117e-02 best_rel_error=3.91e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=2400 rel_error=3.832520306164e-02 best_rel_error=3.82e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=2500 rel_error=3.695554929371e-02 best_rel_error=3.69e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=2600 rel_error=3.251255088761e-02 best_rel_error=3.25e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=2700 rel_error=3.005898446872e-02 best_rel_error=3.01e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=2800 rel_error=2.949262784403e-02 best_rel_error=2.87e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=2900 rel_error=2.830963886325e-02 best_rel_error=2.80e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=3000 rel_error=2.713982960051e-02 best_rel_error=2.71e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=3100 rel_error=2.693672461795e-02 best_rel_error=2.66e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=3200 rel_error=2.553325441564e-02 best_rel_error=2.55e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=3300 rel_error=2.248431270155e-02 best_rel_error=2.25e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=3400 rel_error=2.227041177162e-02 best_rel_error=2.15e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=3500 rel_error=2.111351976828e-02 best_rel_error=2.05e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=3600 rel_error=2.009554273566e-02 best_rel_error=1.98e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=3700 rel_error=1.966388971330e-02 best_rel_error=1.94e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=3800 rel_error=1.901939436344e-02 best_rel_error=1.86e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=3900 rel_error=1.834926414369e-02 best_rel_error=1.81e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=4000 rel_error=1.779709112326e-02 best_rel_error=1.76e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=4100 rel_error=1.738978134517e-02 best_rel_error=1.72e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=4200 rel_error=1.676648974396e-02 best_rel_error=1.68e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=4300 rel_error=1.705490412709e-02 best_rel_error=1.66e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=4400 rel_error=1.666575459724e-02 best_rel_error=1.63e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=4500 rel_error=1.642164398445e-02 best_rel_error=1.59e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=4600 rel_error=1.557347703294e-02 best_rel_error=1.55e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=4700 rel_error=1.534844543395e-02 best_rel_error=1.53e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=4800 rel_error=1.480202638802e-02 best_rel_error=1.48e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=4900 rel_error=1.467640034357e-02 best_rel_error=1.45e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=5000 rel_error=1.452959603087e-02 best_rel_error=1.43e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=5100 rel_error=1.392092368482e-02 best_rel_error=1.39e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=5200 rel_error=1.401566957476e-02 best_rel_error=1.37e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=5300 rel_error=1.350878434508e-02 best_rel_error=1.35e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=5400 rel_error=1.320543596552e-02 best_rel_error=1.31e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=5500 rel_error=1.341537319809e-02 best_rel_error=1.30e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=5600 rel_error=1.290990280765e-02 best_rel_error=1.27e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=5700 rel_error=1.259676099197e-02 best_rel_error=1.25e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=5800 rel_error=1.206417083469e-02 best_rel_error=1.21e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=5900 rel_error=1.145538916524e-02 best_rel_error=1.15e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=6000 rel_error=1.100941705604e-02 best_rel_error=1.10e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=6100 rel_error=1.113222406006e-02 best_rel_error=1.06e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=6200 rel_error=1.015570069204e-02 best_rel_error=1.02e-02 num_params=34260
stage=1 learning_rate=1e-03 epoch=6300 rel_error=9.849214913407e-03 best_rel_error=9.85e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=6400 rel_error=9.503469721429e-03 best_rel_error=9.50e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=6500 rel_error=9.795609599626e-03 best_rel_error=8.94e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=6600 rel_error=8.896409462322e-03 best_rel_error=8.67e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=6700 rel_error=8.607271148269e-03 best_rel_error=8.25e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=6800 rel_error=7.789770036902e-03 best_rel_error=7.68e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=6900 rel_error=7.409451571029e-03 best_rel_error=7.41e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=7000 rel_error=7.208582684820e-03 best_rel_error=7.05e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=7100 rel_error=6.935925312393e-03 best_rel_error=6.82e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=7200 rel_error=6.742977408545e-03 best_rel_error=6.65e-03 num_params=34260
stage=1 learning_rate=1e-03 epoch=7300 rel_error=7.191910456973e-03 best_rel_error=6.43e-03 num_params=34260
