random seed = 1234
reference_energy=-2.175229378236791 hartree
stage=1 learning_rate=5e-03 epoch=1 rel_error=9.110883245547e-01 num_params=34260
stage=1 learning_rate=5e-03 epoch=100 rel_error=1.793435097556e-01 best_rel_error=1.76e-01 num_params=34260
stage=1 learning_rate=5e-03 epoch=200 rel_error=6.807928672359e-02 best_rel_error=6.81e-02 num_params=34260
stage=1 learning_rate=5e-03 epoch=300 rel_error=4.230026401064e-02 best_rel_error=4.23e-02 num_params=34260
stage=1 learning_rate=5e-03 epoch=400 rel_error=3.243002082596e-02 best_rel_error=3.22e-02 num_params=34260
stage=1 learning_rate=5e-03 epoch=500 rel_error=2.694397831090e-02 best_rel_error=2.60e-02 num_params=34260
stage=1 learning_rate=5e-03 epoch=600 rel_error=2.108355540342e-02 best_rel_error=2.11e-02 num_params=34260
stage=1 learning_rate=5e-03 epoch=700 rel_error=1.779125530494e-02 best_rel_error=1.78e-02 num_params=34260
stage=1 learning_rate=5e-03 epoch=800 rel_error=1.537854912023e-02 best_rel_error=1.54e-02 num_params=34260
stage=1 learning_rate=5e-03 epoch=900 rel_error=1.374500529880e-02 best_rel_error=1.37e-02 num_params=34260
stage=1 learning_rate=5e-03 epoch=1000 rel_error=1.571037151727e-02 best_rel_error=1.36e-02 num_params=34260
stage=1 learning_rate=5e-03 epoch=1100 rel_error=1.247997822461e-02 best_rel_error=1.25e-02 num_params=34260
stage=1 learning_rate=5e-03 epoch=1200 rel_error=1.069987184095e-02 best_rel_error=1.07e-02 num_params=34260
stage=1 learning_rate=5e-03 epoch=1300 rel_error=9.656947387888e-03 best_rel_error=9.66e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=1400 rel_error=8.822310450723e-03 best_rel_error=8.82e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=1500 rel_error=8.187378832051e-03 best_rel_error=8.19e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=1600 rel_error=7.490389676987e-03 best_rel_error=7.49e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=1700 rel_error=6.875617752405e-03 best_rel_error=6.88e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=1800 rel_error=6.351916743350e-03 best_rel_error=6.35e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=1900 rel_error=5.907512442479e-03 best_rel_error=5.91e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=2000 rel_error=5.642717864958e-03 best_rel_error=5.60e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=2100 rel_error=5.202187824693e-03 best_rel_error=5.20e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=2200 rel_error=4.941068932734e-03 best_rel_error=4.94e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=2300 rel_error=4.123243560957e-03 best_rel_error=4.12e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=2400 rel_error=3.927981872306e-03 best_rel_error=3.92e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=2500 rel_error=4.247257101121e-03 best_rel_error=3.73e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=2600 rel_error=3.601662147046e-03 best_rel_error=3.60e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=2700 rel_error=3.455883762398e-03 best_rel_error=3.46e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=2800 rel_error=3.307250711392e-03 best_rel_error=3.31e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=2900 rel_error=6.210772493829e-03 best_rel_error=3.23e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=3000 rel_error=3.138154285340e-03 best_rel_error=3.14e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=3100 rel_error=3.022352850930e-03 best_rel_error=3.02e-03 num_params=34260
stage=1 learning_rate=5e-03 epoch=3200 rel_error=3.028460422506e-03 best_rel_error=2.96e-03 num_params=34260
