random seed = 1234
reference_energy=-7.478060326 hartree
stage=1 learning_rate=1e-02 epoch=0 rel_error=9.351100139368e-01 num_params=51390
stage=1 learning_rate=1e-02 epoch=100 rel_error=1.394330169296e-01 best_rel_error=1.39e-01 num_params=51390
stage=1 learning_rate=1e-02 epoch=200 rel_error=6.644120095506e-02 best_rel_error=5.95e-02 num_params=51390
stage=1 learning_rate=1e-02 epoch=300 rel_error=3.870380701446e-02 best_rel_error=3.87e-02 num_params=51390
stage=1 learning_rate=1e-02 epoch=400 rel_error=3.005511011924e-02 best_rel_error=3.01e-02 num_params=51390
stage=1 learning_rate=1e-02 epoch=500 rel_error=2.733905929547e-02 best_rel_error=2.56e-02 num_params=51390
stage=1 learning_rate=1e-02 epoch=600 rel_error=2.584154009636e-02 best_rel_error=2.42e-02 num_params=51390
stage=1 learning_rate=1e-02 epoch=700 rel_error=2.050501065478e-02 best_rel_error=2.03e-02 num_params=51390
stage=1 learning_rate=1e-02 epoch=800 rel_error=1.767513119768e-02 best_rel_error=1.77e-02 num_params=51390
stage=1 learning_rate=1e-02 epoch=900 rel_error=1.597639669720e-02 best_rel_error=1.59e-02 num_params=51390
stage=1 learning_rate=1e-02 epoch=1000 rel_error=1.551358473007e-02 best_rel_error=1.46e-02 num_params=51390
stage=1 learning_rate=1e-02 epoch=1100 rel_error=1.335028529310e-02 best_rel_error=1.34e-02 num_params=51390
stage=1 learning_rate=1e-02 epoch=1200 rel_error=1.257970125619e-02 best_rel_error=1.26e-02 num_params=51390
stage=1 learning_rate=1e-02 epoch=1300 rel_error=1.514797915282e-02 best_rel_error=1.17e-02 num_params=51390
stage=1 learning_rate=1e-02 epoch=1400 rel_error=1.063017187151e-02 best_rel_error=1.06e-02 num_params=51390
stage=1 learning_rate=1e-02 epoch=1500 rel_error=1.055177979591e-02 best_rel_error=1.03e-02 num_params=51390
stage=1 learning_rate=1e-02 epoch=1600 rel_error=9.831870449684e-03 best_rel_error=9.83e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=1700 rel_error=1.051924747121e-02 best_rel_error=9.42e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=1800 rel_error=8.527540642449e-03 best_rel_error=8.21e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=1900 rel_error=7.925485549577e-03 best_rel_error=7.93e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=2000 rel_error=7.853089193417e-03 best_rel_error=7.70e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=2100 rel_error=7.599003723047e-03 best_rel_error=7.50e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=2200 rel_error=7.099446157661e-03 best_rel_error=7.09e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=2300 rel_error=8.481238607855e-03 best_rel_error=6.93e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=2400 rel_error=6.639678975332e-03 best_rel_error=6.64e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=2500 rel_error=6.508321876411e-03 best_rel_error=6.45e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=2600 rel_error=6.674511406639e-03 best_rel_error=6.26e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=2700 rel_error=6.216780020371e-03 best_rel_error=6.08e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=2800 rel_error=6.425130368691e-03 best_rel_error=6.02e-03 num_params=51390
stage=1 learning_rate=1e-02 epoch=2900 rel_error=5.867069869410e-03 best_rel_error=5.87e-03 num_params=51390
